# Some static functions have the same name, ignore them
0x42F380,obj_set_map_address
0x42F388,obj_map_diff
0x42F3DC,obj_map_diff_dbx
0x42F454,obj_hash
0x42F45C,obj_set_hash_address
0x42F464,obj_dynstr
0x42F46C,obj_set_dynstr_address
0x42F474,obj_dynsym
0x42F47C,obj_set_dynsym_address
0x42F484,obj_msym
0x42F48C,obj_set_msym_address
0x42F494,obj_got
0x42F49C,obj_set_got_address
0x42F4A4,obj_dynrel
0x42F4AC,obj_set_dynrel_address
0x42F4B4,obj_liblist
0x42F4BC,obj_create_liblist_entry
0x42F540,obj_set_liblist_address
0x42F548,obj_conflict
0x42F550,obj_set_conflict_address
0x42F558,obj_locgotcount
0x42F560,obj_set_locgotcount
0x42F568,obj_unrefextno
0x42F570,obj_set_unrefextno
0x42F578,obj_gotsym
0x42F580,obj_set_gotsym
0x42F588,obj_timestamp
0x42F590,obj_set_timestamp
0x42F598,obj_ichecksum
0x42F5A0,obj_set_ichecksum
0x42F5A8,obj_iversion
0x42F5B0,obj_set_iversion
0x42F5B8,obj_dynflags
0x42F5C0,obj_set_dynflags
0x42F5C8,obj_dynrelsz
0x42F5D0,obj_set_dynrelsz
0x42F5D8,obj_dynrelent
0x42F5E0,obj_set_dynrelent
0x42F5E8,obj_dynsymcount
0x42F5F0,obj_set_dynsymcount
0x42F5F8,obj_dynsyment
0x42F600,obj_set_dynsyment
0x42F608,obj_dynstrsz
0x42F610,obj_set_dynstrsz
0x42F618,obj_liblistcount
0x42F620,obj_set_liblistcount
0x42F628,obj_conflictcount
0x42F630,obj_set_conflictcount
0x42F638,obj_extgot
0x42F640,obj_set_extgot
0x42F648,obj_rpath
0x42F650,obj_set_rpath
0x42F658,obj_soname
0x42F660,obj_set_soname
0x42F668,obj_rldversion
0x42F670,obj_rldversion_string
0x42F69C,obj_set_rldversion
0x42F6A4,obj_text_start
0x42F6AC,obj_set_text_start
0x42F6B4,obj_text_size
0x42F6BC,obj_set_text_size
0x42F6C4,obj_data_start
0x42F6CC,obj_set_data_start
0x42F6D4,obj_bss_start
0x42F6DC,obj_set_bss_start
0x42F6E4,obj_data_size
0x42F738,obj_bss_size
0x42F740,obj_set_bss_size
0x42F748,obj_name
0x42F750,obj_set_name
0x42F758,obj_path
0x42F760,obj_set_path
0x42F768,obj_init_address
0x42F770,obj_set_init_address
0x42F778,obj_pixie_init_address
0x42F780,obj_set_pixie_init_address
0x42F788,obj_fini_address
0x42F790,obj_set_fini_address
0x42F798,obj_entry_address
0x42F7A0,obj_set_entry_address
0x42F7A8,obj_rldflags
0x42F7B0,obj_set_rldflag
0x42F7C0,obj_unset_rldflag
0x42F7D4,obj_is_mapped
0x42F7E0,obj_was_modified
0x42F7EC,obj_chksum_changed
0x42F7F8,obj_was_moved
0x42F804,obj_followed_csc
0x42F810,obj_is_symbolic
0x42F81C,obj_committed
0x42F828,obj_set_cxx_flags
0x42F838,obj_unset_cxx_flags
0x42F84C,obj_cxx_flags
0x42F854,obj_is_delta_object
0x42F860,obj_delta_fixup
0x42F86C,obj_delta_read_defns
0x42F878,obj_get_delta_version
0x42F88C,obj_start_init
0x42F898,obj_init_done
0x42F8A4,obj_pixie_init_done
0x42F8B4,obj_set_pixie_init_done
0x42F8C8,obj_set_start_init
0x42F8D8,obj_set_init_done
0x42F8E8,obj_dynstrtab
0x42F8F0,obj_dynstring
0x42F92C,obj_set_dynstrtab
0x42F934,obj_conflict_foreign
0x42F96C,obj_liblist_foreign
0x42F9A4,obj_dynsym_value
0x42F9B8,obj_set_dynsym_value
0x42F9CC,obj_sym_other
0x42F9E0,obj_dynsym_size
0x42F9F4,obj_set_dynsym_size
0x42FA08,obj_sym_shndx
0x42FA1C,obj_dynsym_name
0x42FA60,obj_sym_info
0x42FA74,obj_msym_exists
0x42FA80,obj_msym_not_exists
0x42FA8C,obj_dynsym_hash_value
0x42FB04,obj_nbucket
0x42FB10,obj_nchain
0x42FB1C,obj_hash_bucket
0x42FB30,obj_hash_chain
0x42FB88,obj_dynsym_got
0x42FC24,obj_set_dynsym_got
0x42FCB0,obj_locgot
0x42FCC4,obj_set_local_got
0x42FCD8,obj_dynsym_rel_index
0x42FCF0,obj_msym_ms_info
0x42FD04,obj_set_msym_ms_info
0x42FD18,obj_msym_ms_hash_value
0x42FD2C,obj_set_msym_ms_hash_value
0x42FD40,obj_rel_off
0x42FD54,obj_rel_info
0x42FD68,obj_conflict_symbol
0x42FD7C,obj_liblist_name
0x42FDE0,obj_liblist_tstamp
0x42FDFC,obj_liblist_csum
0x42FE18,obj_liblist_version_str
0x42FE3C,obj_liblist_version
0x42FE58,obj_liblist_flags
0x42FE74,obj_interface_version
0x42FE84,obj_interface_not_match
0x42FEF4,obj_checksum_not_match
0x42FF40,obj_name_not_match
0x42FF9C,obj_tstamp_not_match
0x42FFE8,obj_different_name
0x430024,obj_pelfhdr
0x43002C,obj_pproghdr
0x430034,obj_psecthdr
0x43003C,obj_section
0x4300CC,obj_shstrndx
0x430100,obj_section_index_name
0x4301B4,obj_section_bits
0x4301C4,obj_section_index_bits
0x430214,obj_section_vaddr
0x43024C,obj_section_size
0x430284,obj_section_offset
0x4302BC,obj_section_name
0x430360,obj_rld_map
0x430368,obj_set_rld_map
