category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x40A328,None,.L0040A328,@branchlabel,None,None,None,0x4,0xA328,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A338,None,.L0040A338,@branchlabel,None,None,None,0x4,0xA338,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A384,None,.L0040A384,@branchlabel,None,None,None,0x4,0xA384,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A3D8,None,.L0040A3D8,@branchlabel,None,None,None,0x4,0xA3D8,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40A3E8,None,.L0040A3E8,@branchlabel,None,None,None,0x4,0xA3E8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A424,None,.L0040A424,@branchlabel,None,None,None,0x4,0xA424,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A470,None,.L0040A470,@branchlabel,None,None,None,0x4,0xA470,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A4C4,None,.L0040A4C4,@branchlabel,None,None,None,0x4,0xA4C4,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40A520,None,.L0040A520,@branchlabel,None,None,None,0x4,0xA520,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40A54C,None,.L0040A54C,@branchlabel,None,None,None,0x4,0xA54C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A598,None,.L0040A598,@branchlabel,None,None,None,0x4,0xA598,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A5E4,None,.L0040A5E4,@branchlabel,None,None,None,0x4,0xA5E4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A630,None,.L0040A630,@branchlabel,None,None,None,0x4,0xA630,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40A668,None,.L0040A668,@branchlabel,None,None,None,0x4,0xA668,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A68C,None,.L0040A68C,@branchlabel,None,None,None,0x4,0xA68C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A6B0,None,.L0040A6B0,@branchlabel,None,None,None,0x4,0xA6B0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A6C4,None,.L0040A6C4,@branchlabel,None,None,None,0x4,0xA6C4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A6C8,None,.L0040A6C8,@branchlabel,None,None,None,0x4,0xA6C8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A6EC,None,.L0040A6EC,@branchlabel,None,None,None,0x4,0xA6EC,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x40A700,None,func_0040A700,@function,None,None,0x110,0x110,0xA700,.text,True,False,True,False,2,None,False,True,False,True,None,1216,False,False
symbol,0x40A800,None,.L0040A800,@branchlabel,None,None,None,0x4,0xA800,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A810,None,func_0040A810,@function,None,None,0x19C,0x19C,0xA810,.text,True,False,True,False,1,None,False,True,False,True,None,1336,False,False
symbol,0x40A8B0,None,.L0040A8B0,@branchlabel,None,None,None,0x4,0xA8B0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A8DC,None,.L0040A8DC,@branchlabel,None,None,None,0x4,0xA8DC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A908,None,.L0040A908,@branchlabel,None,None,None,0x4,0xA908,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A934,None,.L0040A934,@branchlabel,None,None,None,0x4,0xA934,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A95C,None,.L0040A95C,@branchlabel,None,None,None,0x4,0xA95C,.text,True,False,True,False,4,None,False,False,False,False,None,None,False,False
symbol,0x40A964,None,.L0040A964,@branchlabel,None,None,None,0x4,0xA964,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A994,None,.L0040A994,@branchlabel,None,None,None,0x4,0xA994,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A99C,None,.L0040A99C,@branchlabel,None,None,None,0x4,0xA99C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A9AC,None,func_0040A9AC,@function,None,None,0x1F4,0x1F4,0xA9AC,.text,True,False,True,False,1,None,False,True,False,True,None,2600,False,False
symbol,0x40AA08,None,.L0040AA08,@branchlabel,None,None,None,0x4,0xAA08,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AA10,None,.L0040AA10,@branchlabel,None,None,None,0x4,0xAA10,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AAEC,None,.L0040AAEC,@branchlabel,None,None,None,0x4,0xAAEC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AAF0,None,.L0040AAF0,@branchlabel,None,None,None,0x4,0xAAF0,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40AB64,None,.L0040AB64,@branchlabel,None,None,None,0x4,0xAB64,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AB80,None,.L0040AB80,@branchlabel,None,None,None,0x4,0xAB80,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AB88,None,.L0040AB88,@branchlabel,None,None,None,0x4,0xAB88,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AB90,None,.L0040AB90,@branchlabel,None,None,None,0x4,0xAB90,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x40ABA0,None,func_0040ABA0,@function,None,None,0x6C,0x6C,0xABA0,.text,True,False,True,False,2,None,False,True,False,True,None,1368,False,False
symbol,0x40ABE0,None,.L0040ABE0,@branchlabel,None,None,None,0x4,0xABE0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40ABF4,None,.L0040ABF4,@branchlabel,None,None,None,0x4,0xABF4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40ABFC,None,.L0040ABFC,@branchlabel,None,None,None,0x4,0xABFC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AC0C,None,func_0040AC0C,@function,None,None,0x228,0x228,0xAC0C,.text,True,False,True,False,1,None,False,True,False,True,None,1392,False,False
symbol,0x40AC64,None,.L0040AC64,@branchlabel,None,None,None,0x4,0xAC64,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40ACE4,None,.L0040ACE4,@branchlabel,None,None,None,0x4,0xACE4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40AD60,None,.L0040AD60,@branchlabel,None,None,None,0x4,0xAD60,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40ADDC,None,.L0040ADDC,@branchlabel,None,None,None,0x4,0xADDC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
